Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Arsenal,1,2025-08-17,Man United,A,W,0,1,3,1.0,2.0,2.0
Arsenal,2,2025-08-31,Liverpool,A,L,1,0,0,1.0,-1.0,1.0
Arsenal,3,2025-09-13,Nott'm Forest,H,W,3,0,3,3.0,0.0,1.0
Arsenal,4,2025-09-21,Man City,H,D,1,1,1,3.0,-2.0,-1.0
Arsenal,5,2025-09-28,Newcastle,A,W,1,2,3,0.0,3.0,2.0
Arsenal,6,2025-10-04,West Ham,H,W,2,0,3,0.0,3.0,5.0
Arsenal,7,2025-10-18,Fulham,A,W,0,1,3,1.0,2.0,7.0
Arsenal,8,2025-10-26,Crystal Palace,H,W,1,0,3,1.0,2.0,9.0
Aston Villa,1,2025-08-16,Newcastle,H,D,0,0,1,3.0,-2.0,-2.0
Aston Villa,2,2025-08-23,Brentford,A,L,1,0,0,3.0,-3.0,-5.0
Aston Villa,3,2025-08-31,Crystal Palace,H,L,0,3,0,1.0,-1.0,-6.0
Aston Villa,4,2025-09-13,Everton,A,D,0,0,1,3.0,-2.0,-8.0
Aston Villa,5,2025-09-28,Fulham,H,W,3,1,3,3.0,0.0,-8.0
Aston Villa,6,2025-10-19,Tottenham,A,W,1,2,3,0.0,3.0,-5.0
Aston Villa,7,2025-10-26,Man City,H,W,1,0,3,3.0,0.0,-5.0
Aston Villa,8,2025-11-01,Liverpool,A,L,2,0,0,0.0,0.0,-5.0
Aston Villa,9,2025-11-09,Bournemouth,H,W,4,0,3,1.0,2.0,-3.0
Bournemouth,1,2025-08-15,Liverpool,A,L,4,2,0,0.0,0.0,0.0
Bournemouth,2,2025-08-23,Wolves,H,W,1,0,3,0.0,3.0,3.0
Bournemouth,3,2025-08-30,Tottenham,A,W,0,1,3,1.0,2.0,5.0
Bournemouth,4,2025-09-13,Brighton,H,W,2,1,3,0.0,3.0,8.0
Bournemouth,5,2025-09-21,Newcastle,H,D,0,0,1,1.0,0.0,8.0
Bournemouth,6,2025-10-03,Fulham,H,W,3,1,3,3.0,0.0,8.0
Bournemouth,7,2025-10-18,Crystal Palace,A,D,3,3,1,1.0,0.0,8.0
Bournemouth,8,2025-10-26,Nott'm Forest,H,W,2,0,3,3.0,0.0,8.0
Bournemouth,9,2025-11-02,Man City,A,L,3,1,0,0.0,0.0,8.0
Bournemouth,10,2025-11-09,Aston Villa,A,L,4,0,0,1.0,-1.0,7.0
Brentford,1,2025-08-17,Nott'm Forest,A,L,3,1,0,3.0,-3.0,-3.0
Brentford,2,2025-08-23,Aston Villa,H,W,1,0,3,0.0,3.0,0.0
Brentford,3,2025-09-13,Chelsea,H,D,2,2,1,1.0,0.0,0.0
Brentford,4,2025-09-20,Fulham,A,L,3,1,0,0.0,0.0,0.0
Brentford,5,2025-09-27,Man United,H,W,3,1,3,3.0,0.0,0.0
Brentford,6,2025-10-05,Man City,H,L,0,1,0,1.0,-1.0,-1.0
Brentford,7,2025-10-20,West Ham,A,W,0,2,3,3.0,0.0,-1.0
Brentford,8,2025-10-25,Liverpool,H,W,3,2,3,0.0,3.0,2.0
Brentford,9,2025-11-01,Crystal Palace,A,L,2,0,0,3.0,-3.0,-1.0
Brentford,10,2025-11-09,Newcastle,H,W,3,1,3,3.0,0.0,-1.0
Brighton,1,2025-08-16,Fulham,H,D,1,1,1,3.0,-2.0,-2.0
Brighton,2,2025-08-24,Everton,A,L,2,0,0,3.0,-3.0,-5.0
Brighton,3,2025-08-31,Man City,H,W,2,1,3,3.0,0.0,-5.0
Brighton,4,2025-09-13,Bournemouth,A,L,2,1,0,3.0,-3.0,-8.0
Brighton,5,2025-09-20,Tottenham,H,D,2,2,1,3.0,-2.0,-10.0
Brighton,6,2025-09-27,Chelsea,A,W,1,3,3,0.0,3.0,-7.0
Brighton,7,2025-10-05,Wolves,A,D,1,1,1,3.0,-2.0,-9.0
Brighton,8,2025-10-18,Newcastle,H,W,2,1,3,1.0,2.0,-7.0
Brighton,9,2025-10-25,Man United,A,L,4,2,0,3.0,-3.0,-10.0
Brighton,10,2025-11-09,Crystal Palace,A,D,0,0,1,0.0,1.0,-9.0
Chelsea,1,2025-08-17,Crystal Palace,H,D,0,0,1,1.0,0.0,0.0
Chelsea,2,2025-08-22,West Ham,A,W,1,5,3,3.0,0.0,0.0
Chelsea,3,2025-08-30,Fulham,H,W,2,0,3,0.0,3.0,3.0
Chelsea,4,2025-09-13,Brentford,A,D,2,2,1,1.0,0.0,3.0
Chelsea,5,2025-09-20,Man United,A,L,2,1,0,1.0,-1.0,2.0
Chelsea,6,2025-09-27,Brighton,H,L,1,3,0,3.0,-3.0,-1.0
Chelsea,7,2025-10-04,Liverpool,H,W,2,1,3,3.0,0.0,-1.0
Chelsea,8,2025-10-18,Nott'm Forest,A,W,0,3,3,3.0,0.0,-1.0
Chelsea,9,2025-11-01,Tottenham,A,W,0,1,3,3.0,0.0,-1.0
Chelsea,10,2025-11-08,Wolves,H,W,3,0,3,3.0,0.0,-1.0
Crystal Palace,1,2025-08-17,Chelsea,A,D,0,0,1,1.0,0.0,0.0
Crystal Palace,2,2025-08-24,Nott'm Forest,H,D,1,1,1,1.0,0.0,0.0
Crystal Palace,3,2025-08-31,Aston Villa,A,W,0,3,3,1.0,2.0,2.0
Crystal Palace,4,2025-09-20,West Ham,A,W,1,2,3,3.0,0.0,2.0
Crystal Palace,5,2025-09-27,Liverpool,H,W,2,1,3,0.0,3.0,5.0
Crystal Palace,6,2025-10-05,Everton,A,L,2,1,0,0.0,0.0,5.0
Crystal Palace,7,2025-10-18,Bournemouth,H,D,3,3,1,1.0,0.0,5.0
Crystal Palace,8,2025-10-26,Arsenal,A,L,1,0,0,1.0,-1.0,4.0
Crystal Palace,9,2025-11-01,Brentford,H,W,2,0,3,0.0,3.0,7.0
Crystal Palace,10,2025-11-09,Brighton,H,D,0,0,1,3.0,-2.0,5.0
Everton,1,2025-08-24,Brighton,H,W,2,0,3,0.0,3.0,3.0
Everton,2,2025-08-30,Wolves,A,W,2,3,3,1.0,2.0,5.0
Everton,3,2025-09-13,Aston Villa,H,D,0,0,1,0.0,1.0,6.0
Everton,4,2025-09-20,Liverpool,A,L,2,1,0,0.0,0.0,6.0
Everton,5,2025-09-29,West Ham,H,D,1,1,1,1.0,0.0,6.0
Everton,6,2025-10-05,Crystal Palace,H,W,2,1,3,3.0,0.0,6.0
Everton,7,2025-10-18,Man City,A,L,2,0,0,1.0,-1.0,5.0
Everton,8,2025-10-26,Tottenham,H,L,0,3,0,3.0,-3.0,2.0
Everton,9,2025-11-08,Fulham,H,W,2,0,3,1.0,2.0,4.0
Fulham,1,2025-08-16,Brighton,A,D,1,1,1,0.0,1.0,1.0
Fulham,2,2025-08-24,Man United,H,D,1,1,1,0.0,1.0,2.0
Fulham,3,2025-08-30,Chelsea,A,L,2,0,0,3.0,-3.0,-1.0
Fulham,4,2025-09-20,Brentford,H,W,3,1,3,3.0,0.0,-1.0
Fulham,5,2025-09-28,Aston Villa,A,L,3,1,0,0.0,0.0,-1.0
Fulham,6,2025-10-03,Bournemouth,A,L,3,1,0,0.0,0.0,-1.0
Fulham,7,2025-10-18,Arsenal,H,L,0,1,0,1.0,-1.0,-2.0
Fulham,8,2025-10-25,Newcastle,A,L,2,1,0,3.0,-3.0,-5.0
Fulham,9,2025-11-01,Wolves,H,W,3,0,3,0.0,3.0,-2.0
Fulham,10,2025-11-08,Everton,A,L,2,0,0,1.0,-1.0,-3.0
Liverpool,1,2025-08-15,Bournemouth,H,W,4,2,3,3.0,0.0,0.0
Liverpool,2,2025-08-25,Newcastle,A,W,2,3,3,1.0,2.0,2.0
Liverpool,3,2025-08-31,Arsenal,H,W,1,0,3,1.0,2.0,4.0
Liverpool,4,2025-09-20,Everton,H,W,2,1,3,3.0,0.0,4.0
Liverpool,5,2025-09-27,Crystal Palace,A,L,2,1,0,3.0,-3.0,1.0
Liverpool,6,2025-10-04,Chelsea,A,L,2,1,0,0.0,0.0,1.0
Liverpool,7,2025-10-19,Man United,H,L,1,2,0,1.0,-1.0,0.0
Liverpool,8,2025-10-25,Brentford,A,L,3,2,0,3.0,-3.0,-3.0
Liverpool,9,2025-11-01,Aston Villa,H,W,2,0,3,3.0,0.0,-3.0
Liverpool,10,2025-11-09,Man City,A,L,3,0,0,3.0,-3.0,-6.0
Man City,1,2025-08-16,Wolves,A,W,0,4,3,3.0,0.0,0.0
Man City,2,2025-08-23,Tottenham,H,L,0,2,0,0.0,0.0,0.0
Man City,3,2025-08-31,Brighton,A,L,2,1,0,0.0,0.0,0.0
Man City,4,2025-09-14,Man United,H,W,3,0,3,0.0,3.0,3.0
Man City,5,2025-09-21,Arsenal,A,D,1,1,1,0.0,1.0,4.0
Man City,6,2025-10-05,Brentford,A,W,0,1,3,1.0,2.0,6.0
Man City,7,2025-10-18,Everton,H,W,2,0,3,1.0,2.0,8.0
Man City,8,2025-10-26,Aston Villa,A,L,1,0,0,0.0,0.0,8.0
Man City,9,2025-11-02,Bournemouth,H,W,3,1,3,3.0,0.0,8.0
Man City,10,2025-11-09,Liverpool,H,W,3,0,3,0.0,3.0,11.0
Man United,1,2025-08-17,Arsenal,H,L,0,1,0,1.0,-1.0,-1.0
Man United,2,2025-08-24,Fulham,A,D,1,1,1,3.0,-2.0,-3.0
Man United,3,2025-09-14,Man City,A,L,3,0,0,3.0,-3.0,-6.0
Man United,4,2025-09-20,Chelsea,H,W,2,1,3,1.0,2.0,-4.0
Man United,5,2025-09-27,Brentford,A,L,3,1,0,0.0,0.0,-4.0
Man United,6,2025-10-19,Liverpool,A,W,1,2,3,1.0,2.0,-2.0
Man United,7,2025-10-25,Brighton,H,W,4,2,3,0.0,3.0,1.0
Man United,8,2025-11-01,Nott'm Forest,A,D,2,2,1,0.0,1.0,2.0
Man United,9,2025-11-08,Tottenham,A,D,2,2,1,0.0,1.0,3.0
Newcastle,1,2025-08-16,Aston Villa,A,D,0,0,1,0.0,1.0,1.0
